name,name_modify,category,y_coord,x_coord,address_str,address_jibun,tel,num_site,area,area_bldg,available_ppl,parking,conv,safety,etc_bldg,time,price,tel_admin,admin,collect_date,admin_code,admin_name
금오산힐링타운,금오산힐링타운,야영장,36.09986385,128.2764334,경상북도 김천시 남면 우장길 448,경상북도 김천시 남면 오봉리 1-3,000-0000-0002,19,4742,771.82,76,25,전기시설+상하수도시설+샤워실,소화기,,14:00~익일11:00,별도 문의,054-420-6824,김천시청 문화관광과,2019-09-16,5060000,경상북도 김천시
하늘아래첫동네캠핑장,하늘아래첫동네캠핑장,자동차야영장,35.881199,128.0362887,경상북도 김천시 증산면 금곡리1길 173-9,경상북도 김천시 증산면 금곡리 801,000-0000-0001,24,2251,205.42,96,24,전기시설+상하수도시설+샤워실,소화기,,14:00~익일13:00,"연중 30,000",054-420-6824,김천시청 문화관광과,2019-09-16,5060000,경상북도 김천시
더캠프렌탈캠핑,더캠프렌탈캠핑,야영장,36.10233544,128.0533776,경상북도 김천시 대항면 대룡로 339-44,경상북도 김천시 대항면 덕전리 95,000-0000-0000,18,734,99.9,72,18,전기시설+상하수도시설+샤워실,소화기,,14:00~익일13:00,"7.15~8.25 35,000, 기타 30,000",054-420-6824,김천시청 문화관광과,2019-09-16,5060000,경상북도 김천시
김천부항댐 산내들 오토캠핑장,김천부항댐산내들오토캠핑장,자동차야영장,35.97796575,128.0118657,경상북도 김천시 지례면 부항댐길 50,경상북도 김천시 지례면 도곡리 747,054-431-2011,52,62000,493.37,208,54,전기시설+상하수도시설+샤워실,소화기,,14:00~익일12:00,"7~8월 30,000, 기타:20,000",054-420-6824,김천시청 문화관광과,2019-09-16,5060000,경상북도 김천시
세계 캠핑체험존,세계캠핑체험존,야영장,38.00737481,127.0621336,경기도 연천군 전곡읍 선사로 123,"경기도 연천군 전곡읍 전곡리 705, 705-1, 705-2",031-835-7100,5,1178,,60,,전기시설+상하수도시설+샤워실,소화기+대피공간,카라반3동+글램핑14동,,,031-839-2148,경기도 연천군청,2019-09-24,4140000,경기도 연천군
랩도그빌,랩도그빌,야영장,38.00819035,127.0885375,경기도 연천군 청산면 청창로200번길 33,경기도 연천군 청산면 대전리 406,031-833-0000,1,2320,,10,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
알멕스랜드 캠핌장,알멕스랜드캠핌장,야영장,38.07510079,127.0070023,경기도 연천군 왕징면 왕산로218번길 25-100,경기도 연천군 왕징면 무등리 161,031-833-5901,125,27265,,10,,전기시설+상하수도시설+샤워실,소화기+대피공간,카라반20동,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
사나래글램핑장,사나래글램핑장,야영장,38.0906861,127.000538,경기도 연천군 왕징면 군왕로 181,경기도 연천군 왕징면 북삼리 209-2,031-833-5449,1,6320,,72,,전기시설+상하수도시설+샤워실,소화기+대피공간,글램핑18동,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
YC글램핑,YC글램핑,야영장,38.0382759,126.9660222,경기도 연천군 미산면 청정로 1049,경기도 연천군 미산면 백석리 산68-1,031-833-0000,4,9332.2,,48,,전기시설+상하수도시설+샤워실,소화기+대피공간,글램핑8동,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
연천 한여울팜파크 글램핑장,연천한여울팜파크글램핑장,야영장,38.06575472,127.1219044,경기도 연천군 연천읍 현문로 537,경기도 연천군 연천읍 고문리 산36,031-834-8999,1,6326,,10,,전기시설+상하수도시설+샤워실,소화기+대피공간,글림핑5동,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
연천재인폭포오토캠핑장,연천재인폭포오토캠핑장,자동차야영장,38.0638787,127.1252212,경기도 연천군 연천읍 현문로 580,경기도 연천군 연천읍 고문리 110-2,031-834-7271,8,2056,,500,,전기시설+상하수도시설+샤워실,소화기+대피공간,카라반20동,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
로얄카바나,로얄카바나,야영장,38.0635065,127.1014761,경기도 연천군 연천읍 현문로 339-10,경기도 연천군 연천읍 고문리 420-1,031-834-8383,29,9900,,64,,전기시설+상하수도시설,소화기+대피공간,글램핑15동,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
다솔관광농원,다솔관광농원,야영장,38.0368886,126.9567187,경기도 연천군 미산면 청정로918번길 123,경기도 연천군 미산면 광동리 38,031-833-0000,50,8295,,16,,전기시설+상하수도시설,소화기+대피공간,카라반2동,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
장남동산농원,장남동산농원,야영장,37.97069095,126.8911178,경기도 연천군 장남면 술이홀로63번길 41-17,경기도 연천군 장남면 원당리 700-2,031-833-0000,33,25509,,32,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
힐링카라반,힐링카라반,야영장,37.99221197,126.8906443,경기도 연천군 장남면 장백로330번길 46-101,경기도 연천군 장남면 원당리 385-8,031-833-0000,2,4281,,48,,전기시설+상하수도시설,소화기+대피공간,카라반11동,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
에브라임캠핑장,에브라임캠핑장,야영장,38.15908781,127.1046343,경기도 연천군 신서면 연신로 866,경기도 연천군 신서면 도신리 786-7,031-833-0000,10,4779.56,,160,,전기시설+상하수도시설,소화기+대피공간,,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
숲속의 쉼터,숲속의쉼터,야영장,37.969242,127.0293937,경기도 연천군 전곡읍 양원로268번길 83,경기도 연천군 전곡읍 양원리 203,031-833-0000,31,7499,,64,,전기시설+상하수도시설,소화기+대피공간,글램핑15동,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
석장리미술관 카라반,석장리미술관카라반,야영장,38.05428644,126.9180746,경기도 연천군 백학면 백왕로 225번길 240-1,경기도 연천군 백학면 석장리 875-16,031-833-0000,23,3733,,76,,전기시설+상하수도시설,소화기+대피공간,카라반17동,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
DMZ 마루 캠핑,DMZ마루캠핑,야영장,38.1349402,127.0192857,경기도 연천군 중면 군중로 399,경기도 연천군 중면 삼곶리 317-3,031-833-0000,27,6165,,10,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
로하스캠핑,로하스캠핑,야영장,38.1324953,127.0252343,경기도 연천군 중면 군중로 319-46,경기도 연천군 중면 삼곶리 185,031-833-0000,2,2818,,212,,전기시설+상하수도시설+샤워실,소화기+대피공간,글램핑3동,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
고대산캠핑리조트,고대산캠핑리조트,야영장,38.2129309,127.1468178,경기도 연천군 신서면 고대산길 84-12,경기도 연천군 신서면 대광리 130-3,031-834-6300,40,7000,,300,,전기시설+상하수도시설+샤워실,소화기+대피공간,카라반18동+글램핑24동,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
평화강변 수목캠핑장,평화강변수목캠핑장,자동차야영장,38.01942911,126.9777427,경기도 연천군 미산면 어삼로 415-17,경기도 연천군 미산면 삼화리 117-3,031-835-7394,74,24806,,296,,전기시설+상하수도시설+샤워실,소화기+대피공간,,,,031-839-2147,경기도 연천군청,2019-09-24,4140000,경기도 연천군
한방자연휴양림,한방자연휴양림,야영장,35.43403493,127.8236813,경상남도 산청군 금서면 동의보감로555번길 186,경상남도 산청군 금서면 특리 1300-86,055-970-6652,13,29750,262.71,96,38,"화장실, 샤워실,취사장",대피소 등,글램핑23개,당일14:00~익일14:00,"일반 20,000글램핑 239,000",055-970-7214,경상남도 산청군 관광진흥과,2019-03-18,5450000,경상남도 산청군
내원자동차야영장,내원자동차야영장,야영장,35.29676401,127.8123354,,경상남도 산청군 삼장면 대포리 산106-2,055-972-7775,53,16500,243.44,212,107,"화장실,취사장",대피소 등,,당일14:00~익일14:00,"성수기 16,000비수기 13,000",055-970-7214,경상남도 산청군 관광진흥과,2019-03-18,5450000,경상남도 산청군
삼장다목적캠핑장,삼장다목적캠핑장,야영장,35.30683325,127.8331255,경상남도 산청군 삼장면 친환경로 409-28,경상남도 산청군 삼장면 덕교리 842,055-973-7176,79,15860,162.95,316,96,"화장실, 취사장",대피소 등,,당일14:00~익일14:00,"20,000",055-970-7214,경상남도 산청군 관광진흥과,2019-03-18,5450000,경상남도 산청군
하늘나리캠핑장,하늘나리캠핑장,야영장,35.1611591,127.3998369,전라남도 곡성군 죽곡면 상한길 255-4,전라남도 곡성군 죽곡면 하한리 658-1,061-363-8546,10,,,40,14,전기시설+상하수도시설+샤워실,소화기+대피공간,"수영장, 정자, 원두막, 평상",지정일 11:00 ~ 익일 11:00,"캠핑장  30,000원",061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
목사골야영장,목사골야영장,야영장,35.10601487,127.3131322,전라남도 곡성군 목사동면 용봉길 91-109,전라남도 곡성군 목사동면 용봉리 425-6,000-0000-0000,20,6548,256,50,25,전기시설+상하수도시설+샤워실,소화기+대피공간,,지정일 14:00 ~익일 11:00,"텐트 : 20,000  ~ 30,000원",061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
아리솔캠핑장,아리솔캠핑장,야영장,35.29366408,127.3672781,전라남도 곡성군 고달면 고산로 343-23,전라남도 곡성군 고달면 고달리 860,000-0000-0000,32,28025,123,130,40,전기시설+상하수도시설+샤워실,소화기+대피공간,글램핑 1동,지정일 13:00 ~ 익일 11:00,"텐트 :30,000~ 50,000원        글램핑 : 60,000 ~ 80,000원",061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
청계동솔바람야영장,청계동솔바람야영장,야영장,35.3080808,127.2640412,전라남도 곡성군 곡성읍 청계동로 415-46,전라남도 곡성군 곡성읍 신기리 1061-2,061-884-7000,40,14086,254.24,300,200,전기시설+상하수도시설+샤워실,소화기+대피공간,"관리동 1동, 별동 1동",지정일 14:00 ~익일 11:00,"데크 : 30,000 ~ 50,000원          텐트하우스  50,000원",061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
도림사오토캠핑장,도림사오토캠핑장,야영장,35.2620782,127.266823,전라남도 곡성군 곡성읍 도림로 74,전라남도 곡성군 곡성읍 구원리 553-3,061-363-6224,38,27024,354,500,300,전기시설+상하수도시설+샤워실,소화기+대피공간,"카라반 25대, 캐빈 14동",지정일 15:00~익일 11:00,텐트:20000원+ 카라반:40000~100000원,061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
곡성 키즈글램핑,곡성키즈글램핑,야영장,35.1603114,127.314477,전라남도 곡성군 죽곡면 오죽로 132,전라남도 곡성군 죽곡면 태평리 120,061-363-1551,20,13177,823,100,83,전기시설+상하수도시설+샤워실,소화기+대피공간,,지정일 14:00~익일 11:00,카라반:99000원~135000원,061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
청계울낚시 캠핑장,청계울낚시캠핑장,야영장,35.3138485,127.2183014,전라남도 곡성군 입면 청계동로 989-26,전라남도 곡성군 입면 제월리 1242-6,061-362-8807,6,4156,107,30,10,전기시설+상하수도시설,소화기+대피공간,,,,061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
자연애 품 캠핑장,자연애품캠핑장,야영장,35.30250005,127.1442931,전라남도 곡성군 옥과면 배감길 16-19,전라남도 곡성군 옥과면 주산리 608-2,061-363-7227,9,7360,274,200,25,전기시설+상하수도시설+샤워실,소화기+대피공간,카라반 2대,지정일 13:00~익일 11:00,텐트:40000+카라반:150000~200000원,061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
섬진강문화학교 캠핑장,섬진강문화학교캠핑장,야영장,35.148348,127.360315,전라남도 곡성군 죽곡면 태안로 793,전라남도 곡성군 죽곡면 동계리 269,061-362-0313,24,8568,1485,50,25,전기시설+상하수도시설+샤워실,소화기+대피공간,,지정일 15:00~익일 11:00,텐트:25000원,061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
좋은세상리조트,좋은세상리조트,야영장,35.1828429,127.3574382,전라남도 곡성군 죽곡면 대황강로 1397-45,전라남도 곡성군 죽곡면 용정리 219,061-362-5555,26,16963,1492,130,30,전기시설+상하수도시설+샤워실,소화기+대피공간,카라반 1대,지정일 14:00~익일 11:00,카라반:150000원~250000원,061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
꿈꾸는캠핑장,꿈꾸는캠핑장,야영장,35.29269051,127.3661304,전라남도 곡성군 고달면 고산로 325,전라남도 곡성군 고달면 고달리 856,061-360-8729,52,28025,123,250,70,전기시설+상하수도시설+샤워실,소화기+대피공간,,지정일 13:00~익일 11:30,텐트:40000+카라반:90000~150000원,061-360-8360,전라남도 곡성군청,2019-06-27,4860000,전라남도 곡성군
오투글램핑,오투글램핑,야영장,35.739346,128.495432,대구광역시 달성군 옥포면 옥포로 111길 95-17,대구광역시 달성군 옥포면 김흥리 952-1,053-616-1868,10,,,40,,전기시설+상하수도시설+화장실+샤워실,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2019-09-10,3480000,대구광역시 달성군
가창농원 야영장,가창농원야영장,야영장,35.7273992,128.679247,대구광역시 달성군 가창면 가창로10길 56,대구광역시 달성군 가창면 삼산리 128,053-767-5295,7,,,30,,전기시설+상하수도시설+화장실+샤워실,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2019-09-10,3480000,대구광역시 달성군
비슬산 숲속 오토캠핑장,비슬산숲속오토캠핑장,야영장,35.691786,128.5093532,,대구광역시 달성군 유가읍 용리 산15,053-659-4412,43,,,250,,전기시설+상하수도시설+화장실+샤워실+취사시설,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2019-09-10,3480000,대구광역시 달성군
포레스트 12 자연휴양림,포레스트12자연휴양림,야영장,35.78786674,128.6338562,대구광역시 달성군 가창면 가창로175길 8,대구광역시 달성군 가창면 냉천리 산27-2,053-608-5000,49,,,200,,전기시설+상하수도시설+화장실+샤워실+취사시설,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2019-09-10,3480000,대구광역시 달성군
낙동강 레포츠밸리 강변오토캠핑장,낙동강레포츠밸리강변오토캠핑장,자동차야영장,35.673719,128.366371,,대구광역시 달성군 구지면 오설리 873,053-659-4151,29,,,105,,전기시설+상하수도시설+화장실+샤워실+취사시설,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2019-09-10,3480000,대구광역시 달성군
낙동강 레포츠밸리 구지오토캠핑장,낙동강레포츠밸리구지오토캠핑장,자동차야영장,35.6719922,128.3716704,대구광역시 달성군 구지면 구지서로 199,대구광역시 달성군 구지면 오설리 756,053-659-4151,23,,,130,,전기시설+상하수도시설+화장실+샤워실+취사시설,소화기+안전게시물+대피소,,,,053-668-2482,대구광역시 달성군청,2019-09-10,3480000,대구광역시 달성군
웅포캠핑장,웅포캠핑장,야영장,36.0662158,126.876232,전라북도 익산시 웅포면 강변로 25,전라북도 익산시 웅포면 웅포리 727,063-862-1578,64,,,1000,200,"화장실, 샤워장, 음수대, 전망대, 족구장 등",소화기,매점,오후1시부터 다음날 12시까지,"10,000원∼20,000원",063-859-5827,익산시 문화관광과,2019-09-18,4680000,전라북도 익산시
증산수도계곡캠핑장,증산수도계곡캠핑장,야영장,35.898859,128.0207203,경상북도 김천시 증산면 수도길 25,경상북도 김천시 증산면 평촌리 185,054-434-2565,27,8200,18,108,60,전기시설+상하수도시설+샤워실,소화기,,14:00~익일12:00,"7~8월 30,000, 기타 20,000",054-420-6824,김천시청 문화관광과,2019-09-16,5060000,경상북도 김천시
Camp 1950,Camp1950,야영장,35.87841267,127.9417388,경상북도 김천시 대덕면 남김천대로 160,경상북도 김천시 대덕면 문의리 240,000-0000-0006,26,12040,493.37,104,30,전기시설+상하수도시설+샤워실,소화기,,14:00~익일11:00,"주말 40,000, 주중 30,000",054-420-6824,김천시청 문화관광과,2019-09-16,5060000,경상북도 김천시
룰루랄라 체험 캠핑장,룰루랄라체험캠핑장,야영장,36.586236,129.3415884,경상북도 영덕군 창수면 오서로 471,경상북도 영덕군 창수면 미곡리 583(경상북도영덕학생야영장),054-734-5819,20,12763,1134,90,30,취사장+샤워시설,방송시설+소화기배치+구급약품비치,놀이터,13:00~13:00,"20,000~40,000",054-734-5819,룰루랄라 체험 캠핑장,2019-09-19,5180000,경상북도 영덕군
영덕 칠보산 오토캠핑장,영덕칠보산오토캠핑장,야영장,36.63571314,129.3938268,경상북도 영덕군 병곡면 칠보산1길 522,경상북도 영덕군 병곡면 백석리 683-3,054-730-6513,19,1648,238,70,30,샤워시설,방송시설+소화기배치+구급약품비치,간이 수영장,14:00~14:00,"35,000",054-730-6513,영덕 칠보산 오토캠핑장,2019-09-19,5180000,경상북도 영덕군
국립칠보산자연휴양림,국립칠보산자연휴양림,야영장,36.62508173,129.3669993,경상북도 영덕군 병곡면 칠보산길 587,경상북도 영덕군 병곡면 영리 산 214,054-732-1607,37,5393983,2033,140,50,취사장+샤워시설,방송시설+소화기배치+구급약품비치,,15:00~12:00,"4,000~5,000",054-732-1607,국립자연휴양림관리소,2019-09-19,5180000,경상북도 영덕군
경호강 카라반,경호강카라반,야영장,35.35733145,127.9154503,경상남도 산청군 단성면 호암로1320번길 88-4,경상남도 산청군 단성면 방목리 626-6,000-0000-0000,1,2347,153.82,28,10,"화장실, 취사장, 샤워장",대피소 등,카라반6개,당일14:00~익일14:00,"2인용 80,000(금요일120,000. 주말150,000), 4인용 120,000(금요일160,000, 주말200,000), 6인용 160,000(금요일200,000, 주말250,000)",055-970-7214,경상남도 산청군 관광진흥과,2019-03-18,5450000,경상남도 산청군
지리산리조트글램핑,지리산리조트글램핑,야영장,35.29733961,127.7553322,경상남도 산청군 시천면 지리산대로511번길 11-33,경상남도 산청군 시천면 중산리 549,055-974-5757,5,16276,442.37,100,10,"화장실, 취사장, 샤워장",대피소 등,글램핑20개,당일14:00~익일14:00,"성수기 150,000~170,000",055-970-7214,경상남도 산청군 관광진흥과,2019-03-18,5450000,경상남도 산청군
BABO글램핑,BABO글램핑,야영장,35.3843281,128.0664067,경상남도 산청군 생비량면 상능로150번길 178,경상남도 산청군 생비량면 제보리 산135,000-0000-0000,4,4496,152.92,52,15,"화장실, 취사장, 샤워장, 카페, 농구장, 족구장",대피소 등,글램핑9개,당일14:00~익일14:00,"비수기 60,000(주말80,000), 글램핑 100,000(주말130,000)",055-970-7214,경상남도 산청군 관광진흥과,2019-03-18,5450000,경상남도 산청군
지리산숲속의쉼터,지리산숲속의쉼터,야영장,35.28308287,127.7207244,경상남도 산청군 시천면 세석길 195-15,경상남도 산청군 시천면 내대리 978,000-0000-0000,12,998,26.48,48,15,"화장실, 취사장, 샤워장",대피소 등,,당일14:00~익일14:00,"성수기 50,000비수기 35,000",055-970-7214,경상남도 산청군 관광진흥과,2019-03-18,5450000,경상남도 산청군
경호강야영장,경호강야영장,야영장,35.35725714,127.916118,경상남도 산청군 단성면 호암로1320번길 88-1,경상남도 산청군 단성면 방목리 627-2,000-0000-0000,34,4940,245.95,136,35,"화장실, 취사장, 샤워장",대피소 등,,당일14:00~익일14:00,"성수기 50,000비수기 35,000",055-970-7214,경상남도 산청군 관광진흥과,2019-03-18,5450000,경상남도 산청군
든해솔계곡캠핑장,든해솔계곡캠핑장,야영장,35.40266658,127.9635859,경상남도 산청군 신등면 척지로475번길 142-12,경상남도 산청군 신등면 모례리 830-7,000-0000-0000,9,5027,292.13,36,10,"화장실,취사장",대피소 등,,당일14:00~익일14:00,"성수기 50,000비수기 45,000",055-970-7214,경상남도 산청군 관광진흥과,2019-03-18,5450000,경상남도 산청군
산청지막계곡캠핑장,산청지막계곡캠핑장,야영장,35.38565092,127.8187735,경상남도 산청군 금서면 왕등재로 307,경상남도 산청군 금서면 지막리 1073-1,055-974-2800,29,4365,174.8,116,30,"화장실, 취사장, 샤워장",대피소 등,,당일14:00~익일14:00,"성수기 40,000비수기 30,000",055-970-7214,경상남도 산청군 관광진흥과,2019-03-18,5450000,경상남도 산청군
지리산노을,지리산노을,야영장,35.31871311,127.9076555,경상남도 산청군 단성면 호암로632번길 75,경상남도 산청군 단성면 청계리 353-7,000-0000-0000,1,1293,39,16,4,"화장실, 취사장, 샤워장",대피소 등,글램핑3개,당일14:00~익일14:00,"성수기 200,000비수기 150,000",055-970-7214,경상남도 산청군 관광진흥과,2019-03-18,5450000,경상남도 산청군
계림정야영장,계림정야영장,야영장,35.351576,127.8412171,,경상남도 산청군 삼장면 홍계리 1054-3,000-0000-0000,25,31033,130.5,100,25,"화장실,취사장",대피소 등,,당일14:00~익일14:00,"15,000",055-970-7214,경상남도 산청군 관광진흥과,2019-03-18,5450000,경상남도 산청군
둘레길관광농원,둘레길관광농원,야영장,35.24313985,127.7935144,,경상남도 산청군 시천면 신천리 158-2,000-0000-0000,34,2587,95.4,136,34,"화장실,샤워실,취사장",대피소 등,,당일14:00~익일14:00,"성수기 40,000비수기 30,000",055-970-7214,경상남도 산청군 관광진흥과,2019-03-18,5450000,경상남도 산청군
